Ticker,open,high,low,close,volume
KHC,36.37,36.85,36.21,36.69,9601850
KIM,23.14,23.14,22.61,22.64,3256838
KLAC,370.16,371.58,360.0938,362.47,582306
KMB,131.59,133.04,131.37,131.88,1058395
KMI,20.04,20.1,19.75,19.79,10090023
KMX,97.33,98.125,95.65,97.51,854748
KO,63.33,63.77,62.66,62.87,15112806
KR,52.93,52.98,52.14,52.15,3421164
KSS,41.2,42.15,40.6775,42.12,4360626
L,65.21,65.52,64.3,64.49,777833
LDOS,106.14,106.94,105.56,105.92,591704
LEG,38.91,39.255,38.57,38.94,1263292
LEN,80.36,81.42,79.555,81.06,2087924
LH,244.38,246.05,241.615,241.98,693869
LHX,243.63,244.9269,240.75,241.1,575473
LIFE,2.98,2.98,2.8001,2.84,53022
LIN,336.38,337.99,333.36,335.51,1728558
LKQ,51.08,52.47,50.69,52.29,1474172
LLL,1.46,1.6,1.46,1.55,278095
LLY,315.13,315.13,303.09,303.36,3734398
LMT,443.82,446.0007,441.56,443.41,689983
LNC,56.15,57.58,55.79,56.9,1178212
LNT,62.48,63.43,62.4,62.53,1493790
LOW,196.0,198.78,194.2029,196.77,2691594
LRCX,526.67,532.89,513.7,516.26,785251
LSI,118.14,118.14,114.81,115.01,472055
LUMN,11.65,11.79,11.61,11.73,6078725
LUV,44.54,44.84,43.85,44.42,3354688
LVS,36.01,37.295,35.24,35.5,7184524
LW,68.61,69.28,67.93,68.98,661693
LYB,108.18,110.08,106.7827,109.83,2866374
LYV,96.57,96.79,94.1072,95.16,1802235
M,23.91,24.27,23.49,24.18,10339931
MA,362.0,368.31,358.525,360.14,2196186
MAA,179.75,180.0,174.08,174.25,647568
MAC,11.54,11.58,11.255,11.34,2873737
MAR,177.0,179.235,175.295,177.61,1394792
MAS,56.6,57.35,56.19,57.0,2458751
MAT,25.09,25.2,24.39,24.54,2051884
MCD,249.08,249.525,247.33,248.07,1569322
MCHP,72.43,72.65,69.825,70.23,3859948
MCK,316.42,320.01,313.02,317.66,654461
MCO,286.71,290.09,284.47,284.53,565949
MDLZ,62.71,63.135,62.22,62.45,4556065
MDT,96.25,96.86,95.19,95.49,5432545
