Date,Time,Ticker,open,high,low,close,volume
20220705,12:06:00,AAPL,139.07,139.165,139.05,139.13,76227
20220705,12:07:00,AAPL,139.12,139.18,139.07,139.13,60337
20220705,12:08:00,AAPL,139.14,139.34,139.1049,139.305,129080
20220705,12:09:00,AAPL,139.31,139.3899,139.23,139.38,99583
20220705,12:10:00,AAPL,139.39,139.53,139.29,139.51,116284
20220705,12:11:00,AAPL,139.52,139.565,139.45,139.52,87602
20220705,12:12:00,AAPL,139.51,139.5542,139.42,139.52,133302
20220705,12:13:00,AAPL,139.5226,139.57,139.31,139.31,129289
20220705,12:14:00,AAPL,139.3191,139.38,139.23,139.38,79279
20220705,12:15:00,AAPL,139.3851,139.3964,139.24,139.275,101224
20220705,12:16:00,AAPL,139.2701,139.32,139.1425,139.165,93066
20220705,12:17:00,AAPL,139.1667,139.32,139.15,139.3,69022
20220705,12:18:00,AAPL,139.305,139.42,139.28,139.37,142257
20220705,12:19:00,AAPL,139.39,139.52,139.385,139.49,104306
20220705,12:20:00,AAPL,139.48,139.56,139.41,139.42,85826
20220705,12:21:00,AAPL,139.42,139.44,139.28,139.37,108216
20220705,12:22:00,AAPL,139.375,139.49,139.375,139.4899,93632
20220705,12:23:00,AAPL,139.49,139.89,139.47,139.875,202106
20220705,12:24:00,AAPL,139.89,139.96,139.82,139.9499,142236
20220705,12:25:00,AAPL,139.95,139.96,139.89,139.9389,119403
20220705,12:26:00,AAPL,139.9307,139.96,139.86,139.8899,85697
20220705,12:27:00,AAPL,139.89,139.99,139.8801,139.9762,115639
20220705,12:28:00,AAPL,139.9734,139.99,139.8,139.83,142645
20220705,12:29:00,AAPL,139.84,139.9,139.82,139.85,57002
20220705,12:30:00,AAPL,139.86,139.97,139.84,139.93,103305
20220705,12:31:00,AAPL,139.93,139.93,139.77,139.8,101271
20220705,12:32:00,AAPL,139.79,139.95,139.79,139.79,78132
20220705,12:33:00,AAPL,139.7902,139.83,139.705,139.7399,96940
20220705,12:34:00,AAPL,139.735,139.86,139.7338,139.84,105049
20220705,12:35:00,AAPL,139.83,139.88,139.81,139.86,69235
20220705,12:36:00,AAPL,139.865,139.8799,139.82,139.8586,63579
20220705,12:37:00,AAPL,139.85,139.9,139.7408,139.8299,74413
20220705,12:38:00,AAPL,139.82,140.03,139.7904,140.01,283699
20220705,12:39:00,AAPL,140.0,140.0,139.8,139.835,130110
20220705,12:40:00,AAPL,139.83,139.895,139.76,139.825,107095
20220705,12:41:00,AAPL,139.825,139.885,139.62,139.62,118078
20220705,12:42:00,AAPL,139.6199,139.69,139.5,139.54,139619
20220705,12:43:00,AAPL,139.54,139.5738,139.355,139.4,136324
20220705,12:44:00,AAPL,139.41,139.47,139.4001,139.41,103469
20220705,12:45:00,AAPL,139.41,139.46,139.34,139.35,90964
