,Unnamed: 0,Ticker,open,high,low,close,volume,Date
136501,352,MMM,76.95,77.73,76.95,77.57,2112400,20041029
137052,318,MMM,45.4375,45.4375,44.75,44.78125,1662400,20000713
137639,369,MMM,196.0,198.23,189.7,189.96,3266548,20181219
138237,355,MMM,81.5,81.96,80.79,81.62,4046300,20050124
138809,338,MMM,69.43,69.975,69.25,69.975,2708400,20030808
139409,370,MMM,206.7,207.45,205.73,207.38,1793356,20190314
139976,326,MMM,58.69,59.2,58.625,59.15,1640800,20010514
140512,317,MMM,43.3125,43.875,43.0,43.0625,2649200,20000707
141073,343,MMM,80.0,80.5,79.5,79.6,3209800,20040323
141605,301,MMM,36.0,36.4375,35.28125,35.4375,1713000,19980917
142196,382,MMM,82.84,84.57,82.84,83.55,5137399,20100713
142819,375,MMM,58.0,58.04,56.23,56.62,7537197,20081219
143458,390,MMM,151.39,151.73,150.2,151.01,2060649,20141029
144097,382,MMM,118.27,119.0,117.64,118.68,2380613,20130808
144728,374,MMM,82.1,82.15,80.77,81.11,4223722,20080107
145346,375,MMM,57.23,57.92,56.68,57.54,4005773,20081231
145972,377,MMM,78.0,79.25,77.12,78.79,7187431,20091022
146611,390,MMM,141.16,141.67,138.72,139.18,2925861,20141001
147252,383,MMM,115.52,115.89,115.19,115.42,2153925,20130820
147859,351,MMM,77.65,78.55,77.65,77.98,3205500,20041015
148453,361,MMM,78.45,78.7,77.52,77.7,3448600,20051206
149041,354,MMM,83.99,85.0,81.62,82.02,7161400,20050118
149645,370,MMM,208.0,208.74,206.64,208.53,1670590,20190328
150255,369,MMM,166.27,168.905,165.1,167.54,2085530,20191022
150845,351,MMM,80.0,80.75,79.69,79.69,3581800,20041001
151439,361,MMM,77.87,78.16,76.78,77.11,1990800,20051212
152043,370,MMM,190.34,191.65,188.5,190.54,1804618,20181231
152625,339,MMM,72.225,72.225,71.555,71.91,2944000,20030820
153245,390,MMM,132.56,134.64,130.6,134.22,4794670,20141015
153842,339,MMM,66.395,67.245,66.155,66.455,4490400,20030411
154404,332,MMM,47.25,47.65,44.25,46.225,6716200,20010919
155007,381,MMM,104.45,105.875,104.35,105.78,2477762,20130405
155629,367,MMM,160.36,160.53,158.04,158.88,2481963,20200218
156173,307,MMM,45.375,45.375,44.6875,44.78125,1482600,19990709
156748,364,MMM,163.66,164.3,161.57,163.02,1685324,20201106
157352,365,MMM,168.15,169.19,165.58,167.05,2217850,20201112
157972,381,MMM,107.86,108.72,107.86,108.25,2138177,20130411
158608,380,MMM,79.57,79.57,77.88,79.21,4552695,20110919
159241,385,MMM,159.15,159.5,158.08,158.27,1843721,20160226
159827,332,MMM,45.5,47.0,45.255,46.565,5168800,20010925
160416,368,MMM,154.45,154.71,152.22,152.55,3635787,20200224
160947,294,MMM,48.375,48.75,47.625,47.75,1357000,19980526
161531,379,MMM,170.16,174.67,169.79,174.28,3280034,20161110
162159,379,MMM,167.21,167.8501,166.42,166.48,1927527,20161104
162716,308,MMM,44.75,45.375,44.625,45.0,1150000,19990721
163293,366,MMM,79.15,79.36,78.68,79.19,2088900,20061110
163870,338,MMM,63.165,64.7,63.055,64.65,4467200,20020819
164466,370,MMM,188.51,190.44,188.42,189.48,2492126,20190116
165084,376,MMM,230.0,233.71,228.53,232.81,2235348,20180305
165645,315,MMM,43.15625,43.4375,42.78125,42.96875,2347400,20000511
166193,330,MMM,54.625,58.7,54.625,58.63,11605600,20010702
166787,373,MMM,77.3,78.0,76.0,77.95,4377717,20080311
167405,375,MMM,57.55,59.39,57.52,59.19,5313866,20090102
168041,387,MMM,138.45,138.95,136.296,136.99,2705751,20140121
168678,383,MMM,87.04,87.22,86.08,86.59,4879914,20100505
169298,373,MMM,78.91,79.61,77.92,78.93,3866487,20080305
169929,388,MMM,162.0,163.37,161.21,162.59,2050735,20150326
170560,375,MMM,55.59,56.63,54.89,56.42,5621816,20090116
171189,380,MMM,76.35,77.43,76.0,77.11,5046689,20091208
171820,383,MMM,85.18,85.97,84.87,85.04,4762197,20100511
172437,370,MMM,187.82,190.99,186.7,190.95,2475193,20190102
173020,342,MMM,80.95,82.63,80.1,81.75,7712200,20040121
173565,314,MMM,42.59375,43.625,42.40625,43.34375,2376400,20000505
174113,330,MMM,55.675,56.24,55.025,55.025,3138800,20010716
174676,342,MMM,82.35,83.2,82.02,82.4,3310600,20040109
175268,361,MMM,72.53,72.9,71.4,71.5,2830800,20051004
175856,354,MMM,80.4,80.9,80.04,80.62,6293200,20041217
176468,379,MMM,92.44,93.0,91.9,92.6,1917265,20120831
177113,391,MMM,161.1,162.44,160.17,162.26,3040255,20141203
177758,387,MMM,137.02,137.43,136.201,136.45,2539952,20140109
178401,390,MMM,159.29,160.89,157.78,160.6,3948875,20141217
