comments,date,Timestamp,Ticker,Watchlistcount,userfollowing,userfollowers,userid,userideas,userjoindate,userlikecount,userwatchliststockscount,linkssourcename,linkstitle,linksurl,linksvideourl,sentimentposition,likestotal,postid
@SweepCast Unusual Options Observed: $ABT with our scanner on $90 PUT Expiring: 05-19-2023 worth 31K🐻  ⬅️ Use this in real-time with @SweepCast - See Profile for More Info 🏆,2022-11-11,01:05:48,ABT,16394,35,15006,3434084,652158,2020-05-10,337,9,,,,,None,,495473552
$SENS Will Stifel conference stifle shorts with a LOI from a potential suitor 11/15??? Who’s got their pocket books out $MDT $DXCM $ABT $IBB,2022-11-10,19:29:09,ABT,16395,87,5,6910263,324,2022-10-06,369,245,,,,,None,,495388423
$ABBV Set to DRIP forever…💧,2022-11-14,20:22:43,ABBV,29525,9,3,4023642,166,2020-08-30,45,46,,,,,Bullish,1,496103974
$ABBV testing high of this range. Weekly lookin on point.,2022-11-14,20:17:11,ABBV,29525,55,49441,8468,28118,2010-02-08,5378,34,,,,,None,1,496102408
$ABBV nice to see some follow through,2022-11-14,19:23:59,ABBV,29524,40,100,329609,5029,2014-03-13,1753,31,,,,,Bullish,1,496088044
$ABBV Such a BEAST! 🫡,2022-11-14,18:24:15,ABBV,29524,17,25,1523794,1162,2018-06-19,3235,67,,,,,Bullish,,496070938
"$TMUS $IFF $ABBV $MAT $VDE ..,,,,",2022-11-14,18:04:40,ABBV,29524,3210,1673,903618,62528,2016-12-16,234067,20,,,,,Bullish,,496065395
$UNH $PFE $ABBV $ORCL $JNJ load AABB NOW!!!!!!!,2022-11-14,17:20:52,ABBV,29524,3210,1674,903618,62528,2016-12-16,233968,20,,,,,Bullish,,496052504
$ABBV divvies pay and reinvest tomorrow. More fuel,2022-11-14,17:10:25,ABBV,29524,22,73,905337,4810,2016-12-19,15239,9,,,,,Bullish,1,496049167
$ABBV Bullish Call Spread is Undervalued at $2.60 https://tinyurl.com/2bd7xnoo,2022-11-14,16:27:41,ABBV,29524,350,17789,800154,315702,2016-07-21,304,1,MarketChameleon.com,ABBV Bullish Call Spread is Undervalued at $2.60 - Market Chameleon,https://tinyurl.com/2bd7xnoo,,None,1,496037228
$ABBV drip your dividends and let it grow along with AAPL and MSFT,2022-11-14,16:03:32,ABBV,29521,107,37,287500,1658,2013-12-05,2036,72,,,,,None,1,496030014
$ABBV Bullish technical pattern building based on 11 signals. Accuracy Rating 84%.,2022-11-14,15:45:52,ABBV,29521,11,498,5254218,18142,2021-03-18,64,3,,,,,None,,496024300
$ABBV 18-Nov-22 Straddle Implies a ±2.4% move. Nov 15 4th Annual Wolfe Research Healthcare Conference https://tinyurl.com/ydhzc48n,2022-11-14,15:35:55,ABBV,29521,350,17790,800154,315669,2016-07-21,304,1,MarketChameleon.com,ABBV Option Breakdown Abbvie,https://tinyurl.com/ydhzc48n,,None,,496020868
$ABBV Happy to sell some at $153. I still think the market moves lower and ABBV with it.,2022-11-14,15:05:32,ABBV,29524,58,4,627488,151,2015-11-04,11,16,,,,,None,2,496009736
$ABBV alerted on 11/7 🚨🚨🚨🔥🔥🔥,2022-11-14,14:40:31,ABBV,29521,4,31,4221549,1987,2020-10-22,116,12,,,,,Bullish,,495999850
Who’s still in $ABBV long swing CALl with me 3-4 weeks ? Alerted a week ago 🔥🔥🔥💰💰💰🚨🚨🚨 congratulations 🎊🍾🎉🎈,2022-11-14,14:38:04,ABBV,29521,4,31,4221549,1987,2020-10-22,116,12,,,,,Bullish,,495998757
"#Levermann #US #BigCap #Sell WK45 $META (0), $ABBV (2), $KO (1), $PEP (0), $COST (0), AVGO (0), TMO (-2), DHR (-1), BABA (-5), CSCO (1)",2022-11-14,12:08:14,ABBV,29521,52,3692,1514501,49121,2018-06-07,1603,86,,,,,Bearish,,495963861
$ABBV $ABT $CAT $CAR $AZO &lt;&gt;&gt;,2022-11-14,04:51:37,ABBV,29518,3209,1676,903618,62467,2016-12-16,233890,20,,,,,Bullish,,495936610
"@TheMer0vingian this year must buy then sell rally each time

If knew this then make money 

When you are green you should think market will not allow you to keep have free money so sell.. only pattern is more lows

Avoid holding over weekend because of news manipulation and revisions 

Be defensive like $ABBV or dividend stock like $O $JEPI 

If can survive few month the dividend will help your cost of entry",2022-11-14,04:33:44,ABBV,29520,6,90,6355951,1241,2022-02-25,1458,172,,,,,None,1,495935190
"#Levermann #Global #BigCap #Sell WK45 $META (0), $ABBV (2), $KO (1), $PEP (0), $COST (0), ASML.AS (1), AVGO (0), TMO (-2), DHR (-1), BABA (-5)",2022-11-13,20:53:09,ABBV,29525,52,3694,1514501,49122,2018-06-07,1603,86,,,,,Bearish,,495894314
$ABBV revisited the 200sma level- ww here if 150 rejects https://youtu.be/61oC_GwGF-0,2022-11-13,20:08:13,ABBV,29517,4,1420,855563,19362,2016-10-07,342,75,YouTube,,https://youtu.be/61oC_GwGF-0,,None,1,495890957
$ABBV NEW ARTICLE : 2 Top Stocks to Buy in November and Hold Forever https://www.stck.pro/news/ABBV/37466022,2022-11-13,11:23:27,ABBV,29520,2,9523,1555408,1098928,2018-07-24,51,0,Stck,,https://www.stck.pro/news/ABBV/37466022,,None,,495850009
"$ABBV NEW ARTICLE : Dividend Champion, Contender, And Challenger Highlights: Week Of November 13 https://www.stck.pro/news/ABBV/37453722",2022-11-13,03:35:07,ABBV,29518,2,9520,1555408,1098614,2018-07-24,51,0,Stck,,https://www.stck.pro/news/ABBV/37453722,,None,,495831422
"$ABBV https://www.stockilluminati.com/abbv/news.php - Dividend Champion, Contender, And Challenger Highlights: Week Of November 13",2022-11-13,03:32:36,ABBV,29518,0,568,6294398,357534,2022-02-01,145,57,Stockilluminati,-,https://www.stockilluminati.com/abbv/news.php,,None,,495831216
The Dividend Capture Strategy: What Investors Need To Know $O $WPC $AAPL $MSFT $ABBV https://talkmarkets.com/content/real-estate--reits/the-dividend-capture-strategy-what-investors-need-to-know?post=374854,2022-11-12,20:00:22,ABBV,29524,341,29930,296805,324943,2014-01-05,535,0,,,,,None,,495803042
$ABBV upcoming event November 15: 4th Annual Wolfe Research Healthcare Conference. Options expiring on November 18 that cover the event have an implied move of ±2.7% https://tinyurl.com/2b8xlosa,2022-11-12,14:11:35,ABBV,29524,350,17789,800154,315727,2016-07-21,304,1,MarketChameleon.com,Abbvie (ABBV) Option Chain | Market Chameleon,https://tinyurl.com/2b8xlosa,,None,1,495774993
Signal alert: $ABBV - GoldenStar https://stockinvest.us/l/3DMfk570Js,2022-11-12,09:36:24,ABBV,29519,60,10069,700679,113072,2016-03-05,25,0,Stockinvest,AbbVie Stock Price Forecast. Should You Buy ABBV?,https://stockinvest.us/l/3DMfk570Js,,Bullish,,495762886
$ABBV no other option here jus keep buying the dip using the 200sma SL,2022-11-11,20:14:45,ABBV,29525,25,63,573845,8173,2015-08-19,2893,166,,,,,None,,495684395
$GOOGL $ADBE $ABT $ABBV $NKE get AABB asap &amp; hodl,2022-11-11,19:38:35,ABBV,29518,3209,1676,903618,62467,2016-12-16,233871,20,,,,,Bullish,2,495671414
"$AVGO $QCOM $ABBV $O  
 
This is my &quot;DRIP and rest well&quot; portfolio",2022-11-11,19:11:46,ABBV,29521,15,8,3546210,1038,2020-06-03,1533,20,,,,,None,2,495661644
$ABBV NEW ARTICLE : My Dividend Growth Portfolio October Update - Market Lows Brought More Buying https://www.stck.pro/news/ABBV/37388762,2022-11-11,18:22:07,ABBV,29525,2,9528,1555408,1100130,2018-07-24,51,0,Stck,,https://www.stck.pro/news/ABBV/37388762,,None,,495643522
$ABBV https://www.stockilluminati.com/abbv/news.php - My Dividend Growth Portfolio October Update - Market Lows Brought More Buying,2022-11-11,18:21:20,ABBV,29525,0,570,6294398,359694,2022-02-01,145,57,Stockilluminati,-,https://www.stockilluminati.com/abbv/news.php,,None,,495643255
