open,high,low,close,volume,Date,Time
2274.065,2274.62,2271.49,2271.8856,3147,20220705,19:08:00
2271.04,2272.525,2271.04,2272.3802,680,20220705,19:09:00
2273.375,2274.284,2273.01,2273.315,1747,20220705,19:10:00
2272.92,2272.92,2271.1999,2271.1999,1280,20220705,19:11:00
2270.55,2270.55,2269.8801,2270.3,1296,20220705,19:12:00
2271.19,2271.5,2270.0,2271.5,1488,20220705,19:13:00
2271.11,2271.53,2270.64,2271.53,860,20220705,19:14:00
2272.3999,2272.3999,2269.7,2270.66,923,20220705,19:15:00
2269.31,2269.705,2268.01,2268.01,1400,20220705,19:16:00
2266.8101,2268.9599,2266.5101,2266.9541,970,20220705,19:17:00
2267.3,2267.83,2265.255,2265.255,1160,20220705,19:18:00
2263.11,2264.51,2263.01,2263.2,1836,20220705,19:19:00
2263.7597,2267.59,2263.7597,2267.59,2880,20220705,19:20:00
2267.04,2268.14,2267.04,2268.13,1500,20220705,19:21:00
2267.6149,2268.33,2267.6149,2268.33,280,20220705,19:22:00
2269.26,2272.46,2269.26,2272.46,1180,20220705,19:23:00
2272.85,2273.285,2271.61,2273.285,1334,20220705,19:24:00
2273.56,2274.49,2271.13,2272.06,2399,20220705,19:25:00
2271.4028,2272.5,2270.92,2272.5,1280,20220705,19:26:00
2272.7,2272.7,2270.76,2271.53,766,20220705,19:27:00
2271.8,2275.73,2270.6884,2274.82,18146,20220705,19:28:00
2274.41,2274.41,2273.3,2273.3,1100,20220705,19:29:00
2274.24,2274.44,2271.12,2272.31,1400,20220705,19:30:00
2273.59,2273.7,2272.94,2273.7,1847,20220705,19:31:00
2274.61,2277.3,2274.61,2277.3,2325,20220705,19:32:00
2276.865,2276.89,2275.39,2275.63,3042,20220705,19:33:00
2275.2593,2275.5,2274.5,2275.5,800,20220705,19:34:00
2275.4542,2276.6899,2274.92,2276.26,2400,20220705,19:35:00
2275.65,2276.055,2272.6201,2275.7651,8547,20220705,19:36:00
2275.82,2276.055,2272.76,2272.76,2239,20220705,19:37:00
2274.25,2276.05,2274.25,2275.5165,2523,20220705,19:38:00
2276.0025,2276.035,2274.08,2274.44,4358,20220705,19:39:00
2275.11,2276.61,2274.58,2276.24,2162,20220705,19:40:00
2276.3534,2277.55,2275.895,2276.6799,1850,20220705,19:41:00
2275.9,2277.18,2275.9,2277.18,829,20220705,19:42:00
2276.11,2278.87,2276.06,2278.82,4193,20220705,19:43:00
2278.76,2279.485,2277.74,2278.93,6951,20220705,19:44:00
2278.8675,2279.99,2278.48,2278.69,3320,20220705,19:45:00
2278.61,2281.0516,2278.61,2280.135,4539,20220705,19:46:00
2278.82,2279.14,2277.53,2278.4,1960,20220705,19:47:00
2278.9,2279.24,2277.4,2278.0,1400,20220705,19:48:00
2277.7,2280.17,2277.2001,2280.17,1729,20220705,19:49:00
2279.71,2279.71,2274.7479,2276.685,4698,20220705,19:50:00
2276.595,2276.595,2274.8,2274.8,1466,20220705,19:51:00
2274.66,2276.402,2273.165,2273.635,2203,20220705,19:52:00
2272.05,2273.21,2271.701,2273.21,1748,20220705,19:53:00
2273.2,2277.91,2273.2,2276.7114,4255,20220705,19:54:00
2276.61,2277.34,2275.0501,2275.145,2703,20220705,19:55:00
2275.2,2276.63,2274.4,2276.63,2536,20220705,19:56:00
2276.59,2276.59,2275.115,2276.0,2969,20220705,19:57:00
2276.244,2276.82,2275.21,2276.82,5734,20220705,19:58:00
2276.95,2279.07,2276.3901,2279.07,13434,20220705,19:59:00
2281.84,2285.0,2272.59,2274.99,20429,20220706,13:30:00
2271.99,2277.49,2268.65,2271.135,4550,20220706,13:31:00
2275.405,2287.792,2275.405,2283.59,2713,20220706,13:32:00
2282.0,2289.0346,2282.0,2286.99,1950,20220706,13:33:00
2283.42,2285.0,2281.22,2281.22,2781,20220706,13:34:00
2276.36,2276.36,2271.2201,2272.62,1100,20220706,13:35:00
2272.59,2272.64,2262.55,2265.12,2321,20220706,13:36:00
2267.79,2268.69,2258.725,2258.725,2390,20220706,13:37:00
2259.83,2263.095,2256.865,2260.22,2480,20220706,13:38:00
2260.07,2260.4,2255.98,2255.98,4179,20220706,13:39:00
2256.805,2262.12,2255.0,2262.12,3450,20220706,13:40:00
2263.175,2264.57,2258.1,2258.1,3830,20220706,13:41:00
2258.82,2266.56,2258.82,2266.3,2537,20220706,13:42:00
2265.58,2269.5,2262.15,2267.31,2809,20220706,13:43:00
2264.0,2265.1,2260.11,2262.985,2504,20220706,13:44:00
2264.11,2264.11,2258.25,2258.25,3208,20220706,13:45:00
2258.41,2259.155,2251.0,2253.1,3949,20220706,13:46:00
2250.73,2251.22,2245.01,2250.1,1580,20220706,13:47:00
2250.0,2258.54,2249.5,2258.54,3860,20220706,13:48:00
2256.32,2257.7533,2253.46,2254.64,2472,20220706,13:49:00
2255.34,2262.26,2253.785,2259.805,1430,20220706,13:50:00
2258.7667,2262.67,2256.9141,2257.835,1951,20220706,13:51:00
2258.22,2260.72,2254.5701,2258.46,1404,20220706,13:52:00
2259.97,2265.8,2259.855,2263.71,1260,20220706,13:53:00
2266.48,2271.68,2264.9275,2270.935,1760,20220706,13:54:00
2269.37,2273.59,2269.37,2272.955,2100,20220706,13:55:00
2273.3525,2274.75,2272.8,2274.33,2860,20220706,13:56:00
2273.57,2276.9999,2273.57,2274.285,2236,20220706,13:57:00
2276.48,2277.37,2274.72,2277.37,2120,20220706,13:58:00
2280.1914,2282.3699,2278.66,2282.3699,2451,20220706,13:59:00
2280.82,2280.82,2270.15,2270.15,3633,20220706,14:00:00
