Ticker,date,root,expiration,strike,option_type,OpenPrice,HighPrice,LowPrice,ClosePrice,TotalVolume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask,implied_underlying_price,active_underlying_price,implied_volatility,delta,gamma,theta,vega,rho,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
.SPX20220520C2400,20220420,SPX,20220520,2400.0,C,0.0,0.0,0.0,0.0,0,15,2059.6,15,2069.0,4467.9902,4469.3198,4465.75,4468.6401,0.0,0.9994,0.0,-0.0316,0.0271,195.3395,15,2060.1,15,2071.9,4434.6602,4694.96,0.0,0,
.SPX20220520P2400,20220420,SPX,20220520,2400.0,P,0.25,0.25,0.22,0.22,1094,476,0.2,3955,0.3,4467.9902,4469.3198,4465.75,4468.6401,0.7233,-0.0009,0.0,-0.0489,0.0402,-0.3595,2413,0.15,1229,0.3,4434.6602,4694.96,0.2488,6443,
.SPX20220520C2450,20220420,SPX,20220520,2450.0,C,0.0,0.0,0.0,0.0,0,30,2009.7,15,2018.8,4467.9902,4469.3198,4465.75,4468.6401,0.0,0.9998,0.0,-0.012,0.0116,199.5405,15,2012.1,15,2020.1,4434.6602,4694.96,0.0,0,
.SPX20220520P2450,20220420,SPX,20220520,2450.0,P,0.25,0.3,0.25,0.3,1156,3202,0.2,1783,0.3,4467.9902,4469.3198,4465.75,4468.6401,0.7004,-0.001,0.0,-0.0486,0.0413,-0.3689,1772,0.2,2273,0.35,4434.6602,4694.96,0.2543,1752,
.SPX20220520C2500,20220420,SPX,20220520,2500.0,C,0.0,0.0,0.0,0.0,0,15,1959.8,15,1968.9,4467.9902,4469.3198,4465.75,4468.6401,0.0,0.9994,0.0,-0.0312,0.0285,203.4633,15,1960.2,15,1972.0,4434.6602,4694.96,0.0,3,
.SPX20220520P2500,20220420,SPX,20220520,2500.0,P,0.3,0.35,0.25,0.35,1497,1028,0.25,4033,0.35,4467.9902,4469.3198,4465.75,4468.6401,0.689,-0.0012,0.0,-0.0566,0.0488,-0.4432,2404,0.2,2294,0.4,4434.6602,4694.96,0.2909,5425,
.SPX20220520C2550,20220420,SPX,20220520,2550.0,C,0.0,0.0,0.0,0.0,0,15,1910.1,15,1919.2,4467.9902,4469.3198,4465.75,4468.6401,0.0,0.9995,0.0,-0.0223,0.0217,207.5989,15,1910.5,15,1922.3,4434.6602,4694.96,0.0,0,
.SPX20220520P2550,20220420,SPX,20220520,2550.0,P,0.3,0.4,0.3,0.4,963,4378,0.25,4533,0.4,4467.9902,4469.3198,4465.75,4468.6401,0.6718,-0.0013,0.0,-0.0604,0.0535,-0.4891,2149,0.25,1378,0.4,4434.6602,4694.96,0.3001,5498,
.SPX20220520C2600,20220420,SPX,20220520,2600.0,C,0.0,0.0,0.0,0.0,0,15,1859.9,30,1869.2,4467.9902,4469.3198,4465.75,4468.6401,0.0,0.9995,0.0,-0.0222,0.0224,211.6671,15,1862.3,15,1870.3,4434.6602,4694.96,0.0,0,
.SPX20220520P2600,20220420,SPX,20220520,2600.0,P,0.35,0.4,0.35,0.4,1107,3999,0.3,1119,0.4,4467.9902,4469.3198,4465.75,4468.6401,0.6545,-0.0014,0.0,-0.0643,0.0584,-0.538,1748,0.3,1904,0.45,4434.6602,4694.96,0.3549,13178,
.SPX20220520C2650,20220420,SPX,20220520,2650.0,C,0.0,0.0,0.0,0.0,0,15,1810.3,15,1819.8,4467.9902,4469.3198,4465.75,4468.6401,0.0,0.9997,0.0,-0.0122,0.0134,215.8202,15,1812.4,15,1820.3,4434.6602,4694.96,0.0,0,
.SPX20220520P2650,20220420,SPX,20220520,2650.0,P,0.4,0.5,0.35,0.45,983,3920,0.35,1821,0.45,4467.9902,4469.3198,4465.75,4468.6401,0.6407,-0.0016,0.0,-0.0716,0.0665,-0.6198,1048,0.35,1739,0.5,4434.6602,4694.96,0.4022,7164,
.SPX20220520C2700,20220420,SPX,20220520,2700.0,C,0.0,0.0,0.0,0.0,0,15,1760.4,15,1769.4,4467.9902,4469.3198,4465.75,4468.6401,0.0,0.9997,0.0,-0.0118,0.0135,219.8937,15,1758.0,30,1774.6,4434.6602,4694.96,0.0,1,
.SPX20220520P2700,20220420,SPX,20220520,2700.0,P,0.45,0.5,0.4,0.5,968,3685,0.4,2283,0.5,4467.9902,4469.3198,4465.75,4468.6401,0.6266,-0.0018,0.0,-0.0793,0.0752,-0.7092,1704,0.4,983,0.55,4434.6602,4694.96,0.4513,14546,
